PT-AU;Nº ciclo;Part Number;Nº Serie;Geometría;Material;Nº capas;Sección;Punto;Zona;FV;Espesor nominal;Espesor curado;OF
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P1;Alma;NO;1,152;1,2;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P2;Alma;NO;1,152;1,22;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P3;Alma;NO;1,152;1,22;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P4;Alma;NO;1,152;1,22;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P5;Alma;NO;1,152;1,2;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P6;Alma;NO;1,152;1,25;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P7;Alma;NO;1,152;1,25;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P8;Alma;NO;1,152;1,25;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P9;Alma;NO;1,152;1,27;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P10;Alma;NO;1,152;1,21;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P11;Alma;NO;1,152;1,22;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P12;Alma;NO;1,152;1,23;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P13;Alma;NO;1,152;1,25;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P14;Alma;NO;1,152;1,19;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P15;Alma;NO;1,152;1,16;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P16;Alma;NO;1,152;1,18;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P17;Alma;SI;1,215;1,27;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P18;Alma;SI;1,215;1,26;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P19;Alma;SI;1,215;1,26;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P20;Alma;SI;1,215;1,29;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P21;Alma;SI;1,215;1,3;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P22;Alma;SI;1,215;1,31;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P23;Alma;SI;1,215;1,32;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;8,0;;P24;Alma;SI;1,215;1,28;
